"REGION","AGE","SEX","ETHNICITY","EDLEVEL","EDGRADE","WORKED"
3,29,2,14,4,3,1
3,45,1,6,5,4,1
3,28,2,14,6,3,1
3,35,1,64,6,3,1
3,33,2,10,6,3,1
3,41,1,8,5,4,2
3,20,1,8,6,3,2
3,28,1,8,4,3,1
3,25,2,8,4,1,1
3,33,2,8,10,3,2
3,23,2,21,6,3,2
3,46,1,1,5,4,1
3,45,2,6,7,2,1
3,27,1,14,4,0,1
3,35,2,18,6,3,2
3,32,1,8,4,3,1
3,30,2,14,4,3,1
3,65,1,21,NA,NA,2
3,61,2,21,3,4,1
3,42,2,4,5,4,2
3,23,2,30,11,4,1
3,20,2,30,11,0,2
3,46,1,6,11,4,1
3,71,1,14,5,4,2
3,62,2,14,NA,NA,1
3,25,2,14,6,3,2
3,22,2,14,6,3,2
3,33,2,14,4,3,1
3,34,1,30,8,3,1
3,31,2,30,NA,NA,1
3,31,1,8,8,3,1
3,27,2,8,4,3,1
3,42,1,30,8,1,1
3,33,2,21,4,1,1
3,37,1,43,8,3,1
3,45,1,8,5,4,1
3,30,2,22,4,3,1
3,51,2,72,11,3,2
3,25,2,30,11,4,1
3,52,1,22,5,4,1
3,52,2,22,NA,NA,1
3,20,1,22,6,3,2
3,28,1,21,4,3,1
3,37,2,22,NA,NA,1
3,20,2,22,6,2,2
3,69,1,22,5,4,2
3,63,2,22,5,4,2
3,33,2,22,8,4,1
3,47,2,8,5,4,1
3,23,2,8,10,1,2
3,43,1,22,5,4,1
3,38,2,22,6,3,1
3,23,2,22,NA,NA,2
3,36,1,14,3,3,1
3,27,2,14,3,3,1
3,50,1,30,5,4,1
3,46,2,30,5,4,1
3,75,2,22,NA,NA,2
3,60,2,22,NA,NA,2
3,20,1,22,3,4,1
3,21,1,22,3,2,1
3,19,1,22,NA,NA,1
3,30,1,22,NA,NA,1
3,27,2,22,3,2,1
3,34,1,22,4,1,1
3,29,2,22,NA,NA,1
3,45,2,22,NA,NA,1
3,50,2,1,5,4,2
3,30,1,14,5,4,1
3,40,2,22,NA,NA,1
3,27,1,22,3,3,1
3,27,2,22,NA,NA,1
3,56,1,22,5,4,1
3,50,2,22,NA,NA,1
3,34,2,22,NA,NA,1
3,25,2,22,NA,NA,1
3,50,2,22,NA,NA,1
3,25,2,22,NA,NA,1
3,23,2,22,NA,NA,1
3,19,1,22,3,5,2
3,35,1,22,5,4,1
3,33,2,22,3,4,1
3,34,1,21,3,2,1
3,30,2,22,NA,NA,1
3,40,2,22,NA,NA,1
3,34,1,8,NA,NA,1
3,42,2,22,NA,NA,2
3,37,1,22,NA,NA,2
3,34,2,22,NA,NA,2
3,40,1,8,5,4,1
3,38,2,8,5,4,1
3,22,2,22,NA,NA,2
3,44,1,22,NA,NA,1
3,27,2,22,NA,NA,1
3,40,2,22,NA,NA,1
3,44,1,22,NA,NA,1
3,25,1,22,3,2,2
3,22,2,14,4,3,2
3,22,1,22,4,3,2
3,24,2,22,3,2,1
3,27,2,22,4,3,1
3,39,1,22,NA,NA,1
3,26,1,22,4,3,2
3,24,1,22,4,3,2
3,22,1,22,4,3,2
3,22,1,22,NA,NA,2
3,22,1,22,4,3,2
3,50,2,22,NA,NA,1
3,63,1,22,5,3,2
3,24,2,22,NA,NA,1
3,20,2,22,4,3,2
3,65,2,22,NA,NA,1
3,40,1,22,NA,NA,1
3,50,1,22,NA,NA,1
3,35,2,22,NA,NA,1
3,35,1,22,NA,NA,1
3,25,2,22,NA,NA,1
3,40,1,22,NA,NA,2
3,30,2,22,NA,NA,2
3,45,1,22,NA,NA,1
3,40,2,22,NA,NA,1
3,49,1,14,7,5,1
3,35,2,14,5,4,1
3,28,1,8,6,4,1
3,23,2,14,6,3,2
3,31,1,22,6,3,1
